"trait","chr","chr_wheat","variant.id","snp_id","pos","n.obs","freq","MAC","Score","Score.SE","Score.Stat","Score.pval","neg_log_pval","Est","Est.SE","PVE","break_bft"
"Virus","1","1A",1,"S1A_1195489",1195489,1147,0.271578029642546,623,-7.75942205090626,7.423242741047,-1.04528739279942,0.295890162662546,0.528869473407775,-0.140812772701003,0.134712016686518,0.00166421809358652,0
"Virus","1","1A",2,"S1A_1960306",1960306,1147,0.047079337401918,108,-2.6219037646011,3.92331372399201,-0.668288072036536,0.503949725798966,0.297612786763064,-0.170337658176504,0.254886575571247,0.000680246371573091,0
"Virus","1","1A",3,"S1A_3776429",3776429,1147,0.131647776809067,302,5.18250501613253,6.16564106687995,0.840546012963916,0.400602314021543,0.397286546395702,0.136327431948494,0.162189136401681,0.00107612271714622,0
"Virus","1","1A",4,"S1A_4781815",4781815,1147,0.19180470793374,440,-4.26580925305306,6.38054804492499,-0.668564709961872,0.503773190429849,0.297764948307111,-0.104781706093984,0.156726349046989,0.00068080966426615,0
"Virus","1","1A",5,"S1A_4929734",4929734,1147,0.339581517000872,779,-6.57521688588495,7.72928823666772,-0.850688534901848,0.394942393680281,0.403466245971665,-0.110060397394185,0.129378018956002,0.00110224966099992,0
"Virus","1","1A",6,"S1A_4968173",4968173,1147,0.557105492589364,1016,-2.18422183687845,8.1158346313572,-0.269130894860679,0.787828956566733,0.103568060787558,-0.0331612097936097,0.123215916220901,0.000110322965045931,0
"Virus","1","1A",7,"S1A_5082686",5082686,1147,0.184829991281604,424,-5.33063443861514,6.22812852673735,-0.855896665544189,0.39205493952491,0.406653070069705,-0.137424374251402,0.160561875964345,0.0011157874786302,0
"Virus","1","1A",8,"S1A_5190314",5190314,1147,0.18308631211857,420,-4.88569528376274,6.18282779769464,-0.790204004320553,0.429408637862811,0.367129223666833,-0.12780624500252,0.161738290749884,0.000951080476782362,0
"Virus","1","1A",9,"S1A_5197982",5197982,1147,0.179598953792502,412,-3.12941736194146,6.19337215327534,-0.505284889151458,0.613358754561951,0.212285431595146,-0.0815847775083626,0.161462927667144,0.000388876264030948,0
"Virus","1","1A",10,"S1A_5198010",5198010,1147,0.179598953792502,412,-3.12941736194146,6.19337215327534,-0.505284889151458,0.613358754561951,0.212285431595146,-0.0815847775083626,0.161462927667144,0.000388876264030948,0
"Virus","1","1A",11,"S1A_5210645",5210645,1147,0.178727114210985,410,-1.89133555333808,6.30419668925723,-0.300012142159372,0.764167893895688,0.116811212914096,-0.0475892737722813,0.158624492428047,0.000137093378263101,0
"Virus","1","1A",12,"S1A_5243796",5243796,1147,0.190061028770706,436,-5.12672756203138,6.33409976717364,-0.809385350796107,0.418293525801645,0.378518857222811,-0.127782223290945,0.157875631385297,0.000997813772577754,0
"Virus","1","1A",13,"S1A_5243818",5243818,1147,0.182214472537053,418,-5.07921248196527,6.15139130424366,-0.825701411396358,0.408973491449817,0.388304840868366,-0.134230025462164,0.162564849241525,0.00103844827318869,0
"Virus","1","1A",14,"S1A_5548750",5548750,1147,0.01743679163034,40,-1.61136826474151,2.15914297910829,-0.746299934896849,0.45548625076588,0.341524728035947,-0.345646370860102,0.463146725194175,0.000848331555988556,0
"Virus","1","1A",15,"S1A_5548782",5548782,1147,0.01743679163034,40,-1.61136826474151,2.15914297910829,-0.746299934896849,0.45548625076588,0.341524728035947,-0.345646370860102,0.463146725194175,0.000848331555988556,0
"Virus","1","1A",16,"S1A_5915099",5915099,1147,0.0919790758500436,211,-1.58536444818646,4.87052249200533,-0.325501925263408,0.7448012257439,0.127959617293397,-0.0668310075146351,0.205316781031489,0.000161378597908286,0
"Virus","1","1A",17,"S1A_6280938",6280938,1147,0.013077593722755,30,0.319934200221018,2.01639386750545,0.158666521147885,0.873931616233209,0.0585225488924582,0.0786882581348936,0.495934854849135,3.83450593215041e-05,0
"Virus","1","1A",18,"S1A_6280964",6280964,1147,0.0178727114210985,41,1.61232144009559,2.4990160785864,0.645182499589048,0.518808925754841,0.28499256078239,0.258174609246213,0.400157489409057,0.000634021480738435,0
"Virus","1","1A",19,"S1A_7557763",7557763,1147,0.033129904097646,76,2.07276350390267,2.48431031786251,0.834341623507834,0.404088502846443,0.393523505957697,0.335844365942857,0.402526203272542,0.0010602948082277,0
"Virus","1","1A",20,"S1A_7557771",7557771,1147,0.0196163905841325,45,-0.239490728161151,2.71594943536528,-0.088179376627069,0.929734108524573,0.031641236081729,-0.0324672379680034,0.368195367328518,1.1843303620875e-05,0
"Virus","1","1A",21,"S1A_7952298",7952298,1147,0.163905841325196,376,-5.49929196516579,6.06089662888921,-0.907339672970739,0.364227200599407,0.438627624084443,-0.149703868672815,0.164992089657743,0.00125394536876256,0
"Virus","1","1A",22,"S1A_7952317",7952317,1147,0.106800348735833,245,2.21213873267959,5.56471530233682,0.397529543290495,0.690977005145464,0.160536405165028,0.0714375348409213,0.179703712709267,0.000240700855634607,0
"Virus","1","1A",23,"S1A_7985775",7985775,1147,0.109851787271142,252,-1.57796907893941,5.50774790826086,-0.286499873491428,0.774495290349283,0.110981218810568,-0.0520176083334746,0.181562412923826,0.000125022357409497,0
"Virus","1","1A",24,"S1A_8082355",8082355,1147,0.0841325196163906,193,0.00834747936483443,5.25288451082478,0.00158912295665982,0.99873206386132,0.000551007063184955,0.000302523871100738,0.190371594490469,3.84639443576527e-09,0
"Virus","1","1A",25,"S1A_8220474",8220474,1147,0.443330427201395,1017,11.2470746028224,8.42802356132178,1.3344854248436,0.182044820414752,0.739821673210633,0.158339071448242,0.118651780304607,0.00271247962243815,0
"Virus","1","1A",26,"S1A_8561584",8561584,1147,0.437227550130776,1003,16.4992771716308,8.29807807371117,1.98832513083982,0.0467757431338915,1.32997930406559,0.239612728776192,0.120509832652462,0.00602162377799166,0
"Virus","1","1A",27,"S1A_8616489",8616489,1147,0.0932868352223191,214,-1.92505421529655,4.82129584553185,-0.399281495467779,0.689685800318475,0.161348715444746,-0.0828162195932892,0.207413117145,0.000242827115804033,0
"Virus","1","1A",28,"S1A_8619460",8619460,1147,0.463818657367044,1064,-13.7089248553532,8.34595416415396,-1.64258329074383,0.100469180255867,0.997967141204251,-0.196811923290779,0.119818534865075,0.00410954382163797,0
"Virus","1","1A",29,"S1A_8997884",8997884,1147,0.197035745422842,452,-3.54373250586598,6.09319698151394,-0.581588370869555,0.560843977888254,0.251157939040419,-0.0954488050581701,0.164117458049343,0.000515193342898226,0
"Virus","1","1A",30,"S1A_9136957",9136957,1147,0.192676547515257,442,-0.687657015117368,6.14690092810066,-0.111870521936303,0.910926069940076,0.0405168686032293,-0.0181994997552157,0.162683604583325,1.90620736501677e-05,0
"Virus","1","1A",31,"S1A_9137012",9137012,1147,0.190496948561465,437,-2.15412246333215,6.07801140972961,-0.354412375712862,0.723029861230894,0.140843765914329,-0.0583105808497699,0.164527496345139,0.000191318325804894,0
"Virus","1","1A",32,"S1A_9150965",9150965,1147,0.192240627724499,441,-1.28657157518766,6.36983144859068,-0.201978904084239,0.839933216392221,0.0757552435873596,-0.0317086732536582,0.156990025257458,6.21370795435499e-05,0
"Virus","1","1A",33,"S1A_9447289",9447289,1147,0.189625108979948,435,-3.84916773567641,6.28598354759986,-0.612341363372819,0.540311928197956,0.267355444651497,-0.097413771247719,0.15908409438676,0.000571118210574527,0
"Virus","1","1A",34,"S1A_9593887",9593887,1147,0.515693112467306,1111,-1.5510025537075,7.75191513351402,-0.20007991921919,0.841418077967837,0.0749881613500024,-0.0258103856625288,0.129000380264314,6.09741593409298e-05,0
"Virus","1","1A",35,"S1A_9854738",9854738,1147,0.318657367044464,731,-3.19702302422255,7.36180795634124,-0.43427145114112,0.664091332640083,0.177772187900214,-0.058989782634448,0.135836197565929,0.000287250884373711,0
"Virus","1","1A",36,"S1A_9913189",9913189,1147,0.319965126416739,734,-2.04567676138994,7.29150752311694,-0.280556079096722,0.779050907241464,0.108434162338102,-0.0384771020543075,0.137145850406052,0.000119888680810225,0
"Virus","1","1A",37,"S1A_10055204",10055204,1147,0.0793374019180471,182,-2.54216362973692,4.45291333621756,-0.570898968336158,0.568068130323821,0.245599574765595,-0.128207967510344,0.224572077760092,0.00049642921392367,0
"Virus","1","1A",38,"S1A_10122148",10122148,1147,0.177855274629468,408,-7.27687908152849,5.93965285375147,-1.22513541796175,0.220524202470046,0.656543739881501,-0.206263808361789,0.168360007667519,0.00228616201762482,0
"Virus","1","1A",39,"S1A_10122159",10122159,1147,0.177855274629468,408,-7.27687908152849,5.93965285375147,-1.22513541796175,0.220524202470046,0.656543739881501,-0.206263808361789,0.168360007667519,0.00228616201762482,0
"Virus","1","1A",40,"S1A_10439189",10439189,1147,0.137750653879686,316,-0.253887552794345,5.87419506238011,-0.0432208243169022,0.965525505193606,0.0152362494676622,-0.00735774414331246,0.170236090116289,2.8452793095847e-06,0
"Virus","1","1A",41,"S1A_10606176",10606176,1147,0.321272885789015,737,-2.72293539915797,7.0435511873979,-0.386585591090722,0.699063026799481,0.155483666947788,-0.0548850403447608,0.141973838678019,0.000227630336463285,0
"Virus","1","1A",42,"S1A_10606184",10606184,1147,0.323452484742807,742,-2.82443751876831,7.04943008948978,-0.400661824135167,0.688669121197585,0.16198938963577,-0.0568360589507125,0.141855438993704,0.0002445089397753,0
"Virus","1","1A",43,"S1A_10606210",10606210,1147,0.321272885789015,737,-2.72293539915797,7.0435511873979,-0.386585591090722,0.699063026799481,0.155483666947788,-0.0548850403447608,0.141973838678019,0.000227630336463285,0
"Virus","1","1A",44,"S1A_10722829",10722829,1147,0.201830863121186,463,5.07645490172086,6.80242761042153,0.746271065633035,0.455503686383727,0.341508103938771,0.109706579529009,0.147006342040005,0.000848265924912746,0
"Virus","1","1A",45,"S1A_10935582",10935582,1147,0.16564952048823,380,2.53058671055725,6.09573565761505,0.415140493731209,0.678039057418002,0.168745288533292,0.0681034278795534,0.164049108453507,0.000262499819787618,0
"Virus","1","1A",46,"S1A_11189525",11189525,1147,0.158238884045336,363,6.46463627486458,6.43983474888197,1.00385126745479,0.315450308874285,0.501069043016812,0.155881525939633,0.155283487697198,0.00153489106487072,0
"Virus","1","1A",47,"S1A_11323774",11323774,1147,0.146033129904098,335,5.30533725308754,5.88422469327631,0.901620439333283,0.367258529578682,0.435028108932022,0.153226718273273,0.169945923571318,0.00123818720375806,0
"Virus","1","1A",48,"S1A_11323779",11323779,1147,0.146033129904098,335,5.30533725308754,5.88422469327631,0.901620439333283,0.367258529578682,0.435028108932022,0.153226718273273,0.169945923571318,0.00123818720375806,0
"Virus","1","1A",49,"S1A_11323780",11323780,1147,0.146033129904098,335,5.30533725308754,5.88422469327631,0.901620439333283,0.367258529578682,0.435028108932022,0.153226718273273,0.169945923571318,0.00123818720375806,0
"Virus","1","1A",50,"S1A_11323814",11323814,1147,0.146033129904098,335,5.30533725308754,5.88422469327631,0.901620439333283,0.367258529578682,0.435028108932022,0.153226718273273,0.169945923571318,0.00123818720375806,0
"Virus","1","1A",51,"S1A_11341749",11341749,1147,0.350043591979076,803,-3.97090749989761,6.99603372520526,-0.567594104869913,0.570310610985132,0.243888548019629,-0.0811308417260753,0.142938133130663,0.000490698315256253,0
"Virus","1","1A",52,"S1A_11341756",11341756,1147,0.186573670444638,428,-6.11783846511611,5.78734862285015,-1.05710557006383,0.290463409398559,0.536908569288037,-0.182658007829365,0.172790696598388,0.00170206263165614,0
"Virus","1","1A",53,"S1A_11343021",11343021,1147,0.157367044463819,361,2.32305367456854,5.87841801775853,0.395183477519065,0.692707485441561,0.159450119323751,0.0672261612435909,0.170113795408736,0.000237868192113927,0
"Virus","1","1A",54,"S1A_11504715",11504715,1147,0.197907585004359,454,0.298855557456956,6.42828127956442,0.0464907405976496,0.96291911404069,0.0164101924197582,0.00723221940294433,0.155562576762005,3.29209033456651e-06,0
"Virus","1","1A",55,"S1A_11543888",11543888,1147,0.221447253705318,508,-2.09236927206997,6.39013932050421,-0.327437191448412,0.743337240696446,0.128814108790185,-0.0512410097848345,0.156491110732324,0.000163303249885603,0
"Virus","1","1A",56,"S1A_11579702",11579702,1147,0.279424585876199,641,1.4985429332053,6.91997968986455,0.216553082576264,0.828556652696311,0.081677791273342,0.0312938899074287,0.144509094653076,7.14278462207304e-05,0
"Virus","1","1A",57,"S1A_11579708",11579708,1147,0.207933740191805,477,-5.82436346582832,6.1558732620002,-0.946147397442655,0.344073411616036,0.463348886328745,-0.153698323076786,0.162446489302003,0.00136350398885784,0
"Virus","1","1A",58,"S1A_11579715",11579715,1147,0.207933740191805,477,-5.82436346582832,6.1558732620002,-0.946147397442655,0.344073411616036,0.463348886328745,-0.153698323076786,0.162446489302003,0.00136350398885784,0
"Virus","1","1A",59,"S1A_11585247",11585247,1147,0.160418482999128,368,-0.313999061160173,5.90300774009331,-0.0531930627546847,0.957578082911625,0.0188258026386857,-0.00901117957094934,0.16940516496497,4.30971755032317e-06,0
"Virus","1","1A",60,"S1A_11592514",11592514,1147,0.169572798605057,389,0.338405127540057,5.95219257485699,0.0568538607049669,0.954661608647804,0.0201505420707516,0.00955175088674493,0.168005316935504,4.9233276226066e-06,0
"Virus","1","1A",61,"S1A_11618015",11618015,1147,0.219267654751526,503,-2.95452437358249,6.23735960999156,-0.473681903613457,0.635726759823367,0.196729507306329,-0.0759426958251167,0.160324249767179,0.000341753051767369,0
"Virus","1","1A",62,"S1A_11618024",11618024,1147,0.219267654751526,503,-2.95452437358249,6.23735960999156,-0.473681903613457,0.635726759823367,0.196729507306329,-0.0759426958251167,0.160324249767179,0.000341753051767369,0
"Virus","1","1A",63,"S1A_11774650",11774650,1147,0.188317349607672,432,-5.23702133602696,5.84449081315419,-0.89606118025543,0.370220088639266,0.431540019541841,-0.153317236505645,0.17110130411178,0.00122296531630666,0
"Virus","1","1A",64,"S1A_11774661",11774661,1147,0.326939843068875,750,-6.8733967364333,7.02489169267752,-0.97843454918997,0.327859447619978,0.484312297158039,-0.139281086740434,0.142350949131694,0.00145815057571551,0
"Virus","1","1A",65,"S1A_11774667",11774667,1147,0.137314734088928,315,-1.40854927740462,5.44478055236406,-0.258697162146056,0.795868909327335,0.0991584607098841,-0.0475128721273684,0.183662131169972,0.000101934722235552,0
"Virus","1","1A",66,"S1A_11790356",11790356,1147,0.141673931996513,325,-0.860769571449073,5.65692152344124,-0.152162190668936,0.879059014134399,0.055981968324854,-0.0268984093271232,0.176774593010736,3.5265684585463e-05,0
"Virus","1","1A",67,"S1A_11790370",11790370,1147,0.333478639930253,765,-6.01734144700217,7.24139625405317,-0.830964255496188,0.405993822428538,0.3914805745647,-0.114751938209579,0.138094914974481,0.00105172815444354,0
"Virus","1","1A",68,"S1A_11790390",11790390,1147,0.19180470793374,440,-5.15657187555308,6.01894209392724,-0.856723954987998,0.39159746116067,0.407160132516207,-0.142337962654996,0.166142153287858,0.00111794550857244,0
"Virus","1","1A",69,"S1A_11790449",11790449,1147,0.356146469049695,817,-3.48974016671179,7.06933607421641,-0.493644683188811,0.621557138141239,0.20651894161794,-0.0698290020457867,0.141455999474582,0.000371165620187251,0
"Virus","1","1A",70,"S1A_11992309",11992309,1147,0.175675675675676,403,1.69422899221333,6.12901819656847,0.276427469763738,0.782219760533825,0.106671217043566,0.0451014274877672,0.163158269061737,0.000116386125738479,0
"Virus","1","1A",71,"S1A_11994475",11994475,1147,0.127288578901482,292,2.17075839184771,5.21195268341761,0.416496181700615,0.677046960829496,0.169381207058144,0.0799117350059111,0.191866668932281,0.000264217064509724,0
"Virus","1","1A",72,"S1A_11994504",11994504,1147,0.20357454228422,467,-2.27060819657011,6.03790753525645,-0.37605878912713,0.706873190843815,0.150658489253092,-0.0622829659002317,0.165620290499783,0.000215402282636772,0
"Virus","1","1A",73,"S1A_11994526",11994526,1147,0.341325196163906,783,-1.656901650523,6.93502067227339,-0.238918055017109,0.811169125053222,0.0908885879345517,-0.0344509506615197,0.1441956768778,8.69434272467707e-05,0
"Virus","1","1A",74,"S1A_12099957",12099957,1147,0.372711421098518,855,-12.9638283374624,7.28536569084086,-1.77943412693209,0.0751686156170604,1.12396344809643,-0.244247743002001,0.137261469421802,0.00482283768171727,0
"Virus","1","1A",75,"S1A_12127673",12127673,1147,0.152571926765475,350,0.502720716560284,5.90359983303643,0.0851549445724741,0.932138209440259,0.0305196894194738,0.0144242406295814,0.16938817472079,1.10448177955922e-05,0
"Virus","1","1A",76,"S1A_12127733",12127733,1147,0.140802092414996,323,-0.0464583693627554,5.46250311991243,-0.00850495978545092,0.993214105705903,0.00295712118882272,-0.00155697115383749,0.183066256997585,1.10175072126104e-07,0
"Virus","1","1A",77,"S1A_12463822",12463822,1147,0.18308631211857,420,-5.62264368767148,5.9078594054024,-0.951722663293222,0.341237652477871,0.466943054406114,-0.161094331801959,0.169266045682393,0.00137962049397605,0
"Virus","1","1A",78,"S1A_12595515",12595515,1147,0.143417611159547,329,0.447659232943834,5.49892536071257,0.0814084941290829,0.935117094196168,0.0291340039090563,0.0148044370106769,0.181853714026483,1.00943476390844e-05,0
"Virus","1","1A",79,"S1A_12595543",12595543,1147,0.370531822144725,850,-10.1913707640134,7.39644257130843,-1.37787465606058,0.16824199104064,0.774065600682847,-0.186288833148721,0.135200130381476,0.00289173331628901,0
"Virus","1","1A",80,"S1A_12596201",12596201,1147,0.192240627724499,441,-3.02019677613134,5.95677108967532,-0.50701910996146,0.612141410067551,0.213148240406835,-0.0851164334382866,0.167876184084573,0.000391550219438372,0
"Virus","1","1A",81,"S1A_12596204",12596204,1147,0.158674803836094,364,-1.53346068840798,5.78959535059982,-0.264864916379537,0.791113526017398,0.101761190098835,-0.0457484332393103,0.172723642922022,0.00010685323788816,0
"Virus","1","1A",82,"S1A_12596219",12596219,1147,0.158674803836094,364,-1.53346068840798,5.78959535059982,-0.264864916379537,0.791113526017398,0.101761190098835,-0.0457484332393103,0.172723642922022,0.00010685323788816,0
"Virus","1","1A",83,"S1A_12596245",12596245,1147,0.139058413251962,319,-3.85632552204521,5.58644782748532,-0.690300105027758,0.490005481847662,0.309799061353378,-0.123566911630586,0.179004625279055,0.000725796205776257,0
"Virus","1","1A",84,"S1A_12596255",12596255,1147,0.192676547515257,442,-5.53980751120969,5.88905783689091,-0.940695042338793,0.346861160327272,0.459844327427747,-0.159736084853163,0.169806449129381,0.00134783436456237,0
"Virus","1","1A",85,"S1A_12596278",12596278,1147,0.192676547515257,442,-5.53980751120969,5.88905783689091,-0.940695042338793,0.346861160327272,0.459844327427747,-0.159736084853163,0.169806449129381,0.00134783436456237,0
"Virus","1","1A",86,"S1A_12596283",12596283,1147,0.139058413251962,319,-3.85632552204521,5.58644782748532,-0.690300105027758,0.490005481847662,0.309799061353378,-0.123566911630586,0.179004625279055,0.000725796205776257,0
"Virus","1","1A",87,"S1A_12597448",12597448,1147,0.189625108979948,435,-2.29499819906388,6.00574704130783,-0.382133676839661,0.70236221339502,0.1534388612185,-0.0636280006819012,0.166507179393662,0.000222417748796703,0
"Virus","1","1A",88,"S1A_13099541",13099541,1147,0.185701830863121,426,-0.973118250628822,6.14186344631722,-0.158440228952391,0.874109915983348,0.0584339530594055,-0.0257967684135659,0.162817035699421,3.82357609031587e-05,0
"Virus","1","1A",89,"S1A_13453750",13453750,1147,0.479947689625109,1101,1.36530469885522,7.73203287724966,0.176577715140402,0.859840099746007,0.065582304866462,0.0228371655868091,0.129332093626031,4.74909219130768e-05,0
